date,code,low,high
2018-01-08,2,,
2018-01-08,3,,
2018-01-08,4,188,189
2018-01-08,5,,
2018-01-08,6,,
2018-01-08,7,272,274
2018-01-08,8,264,266
2018-01-08,9,185,186
2018-01-08,10,189,190
2018-01-08,11,,
2018-01-08,12,200,202
2018-01-08,13,,
2018-01-08,14,168,169
2018-01-08,15,180,181
2018-01-08,16,167,168
2018-01-08,17,,
2018-01-08,18,,
2018-01-08,19,,
2018-01-08,20,,
2018-01-08,21,180,182
2018-01-08,22,188,189
2018-01-08,23,400,405
2018-01-08,24,394,399
2018-01-08,25,249,251
2018-01-08,26,244,247
2018-01-08,27,465,466
2018-01-08,28,461,463
2018-01-08,29,447,448
2018-01-08,30,163,165
2018-01-08,31,167,169
2018-01-08,32,135,137
2018-01-08,33,168,170
2018-01-08,34,139,141
2018-01-08,35,194,196
2018-01-08,36,165,167
2018-01-08,37,134,136
2018-01-08,38,134,136
2018-01-08,39,273,274
2018-01-08,40,153,155
2018-01-08,41,,
2018-01-08,42,150,151
2018-01-08,43,150,151
2018-01-08,44,,
2018-01-08,45,,
2018-01-08,46,,
2018-01-08,47,192,193
2018-01-08,48,132,134
2018-01-08,49,,
2018-01-08,50,300,340
2018-01-08,51,330,380
2018-01-08,52,,
2018-01-08,53,800,840
2018-01-08,54,890,940
2018-01-08,55,280,310
2018-01-08,56,220,230
2018-01-08,57,,
2018-01-08,58,105,110
2018-01-08,59,,
2018-01-08,60,,
2018-01-08,61,,
2018-01-08,62,,
2018-01-08,63,190,195
2018-01-08,64,,
2018-01-08,65,,
2018-01-08,66,,
2018-01-08,67,205,210
2018-01-08,68,,
2018-01-08,69,,
2018-01-08,70,,
2018-01-08,71,95,100
2018-01-08,72,210,215
2018-01-08,73,370,372
2018-01-08,74,,
2018-01-08,75,346,348
2018-01-08,76,390,392
2018-01-08,77,367,369
2018-01-08,78,,
2018-01-08,79,,
2018-01-08,80,,
2018-01-08,81,320,330
2018-01-08,82,,
2018-01-08,83,790,800
2018-01-08,84,815,825
2018-01-08,85,680,685
2018-01-08,86,720,730
2018-01-08,87,730,735
2018-01-08,88,725,730
2018-01-08,89,1430,1440
2018-01-08,90,940,960
2018-01-08,91,960,980
2018-01-08,92,795,800
2018-01-08,93,805,815
2018-01-08,94,815,820
2018-01-08,95,810,815
2018-01-08,96,,
2018-01-08,97,,
2018-01-08,98,,
2018-01-08,100,,
2018-01-08,101,,
2018-01-08,102,,
2018-01-08,103,4.65,5.3
2018-01-08,104,3.65,3.75
2018-01-08,105,3.85,3.95
2018-01-08,106,3.68,3.7
2018-01-08,107,2.27,2.29
2018-01-08,108,274,276
2018-01-08,109,238,240
2018-01-08,110,335,370
2018-01-08,111,220,222
2018-01-08,112,,
2018-01-08,113,,
2018-01-08,114,179,180
2018-01-08,115,125,127
2018-01-08,116,,
2018-01-08,117,395,398
2018-01-08,118,318,319
2018-01-08,119,,
2018-01-08,120,320,321
2018-01-08,121,455,458
2018-01-08,122,327,329
2018-01-08,123,,
2018-01-08,124,327,330
2018-01-08,125,,
2018-01-08,126,,
2018-01-08,127,219,224
2018-01-08,128,212,217
2018-01-08,129,228,233
2018-01-08,130,185,192
2018-01-08,131,1440,1445
2018-01-08,132,670,675
2018-01-08,133,640,645
2018-01-08,134,710,715
2018-01-08,176,5,6
2018-01-08,177,11,12
2018-01-08,181,4.75,4.8
2018-01-08,182,4.95,5
2018-01-08,183,4.75,4.9
2018-01-08,184,5.45,5.65
2018-01-08,185,6.55,6.65
2018-01-08,186,8.35,8.65
2018-01-08,187,350,370
2018-01-08,188,270,300
2018-01-08,189,100,120
2018-01-08,190,1900,2000
2018-01-08,191,5.24,5.24
2018-01-08,192,3.4,3.4
2018-01-08,193,3,3
2018-01-08,194,2.44,2.44
2018-01-08,195,2.08,2.08
2018-01-08,196,1.86,1.86
2018-01-08,197,1.52,1.52
2018-01-08,198,1.59,1.59
2018-01-08,199,1.54,1.54
2018-01-08,202,,
2018-01-08,203,,
2018-01-08,204,,
2018-01-08,205,,
2018-01-08,206,,
2018-01-08,207,,
2018-01-08,208,,
2018-01-08,209,,
2018-01-08,210,0.6,0.7
2018-01-08,211,0.2,0.25
2018-01-08,212,0.28,0.3
2018-01-08,213,,
2018-01-08,214,,
2018-01-08,215,,
2018-01-08,216,,
2018-01-08,217,,
2018-01-08,218,,
2018-01-08,219,,
2018-01-08,220,,
2018-01-08,221,,
2018-01-08,222,,
2018-01-08,223,,
2018-01-08,224,,
2018-01-08,225,1.3,1.5
2018-01-08,226,,
2018-01-08,227,,
2018-01-08,228,,
2018-01-08,229,0.5,0.6
2018-01-08,230,,
2018-01-08,231,,
2018-01-08,232,,
2018-01-08,233,,
2018-01-08,234,0.2,0.22
2018-01-08,235,,
2018-01-08,236,,
2018-01-08,237,,
2018-01-08,238,,
2018-01-08,239,,
2018-01-08,240,,
2018-01-08,241,,
2018-01-08,242,,
2018-01-08,243,,
2018-01-08,244,,
2018-01-08,245,,
2018-01-08,246,0.45,0.55
2018-01-08,247,1.7,1.8
2018-01-08,248,,
2018-01-08,249,0.5,0.7
2018-01-08,250,0.23,0.28
2018-01-08,251,,
2018-01-08,252,,
2018-01-08,253,0.7,0.75
2018-01-08,254,,
2018-01-08,255,,
2018-01-08,256,0.45,0.5
2018-01-08,257,,
2018-01-08,258,,
2018-01-08,259,,
2018-01-08,260,,
2018-01-08,261,,
2018-01-08,262,,
2018-01-08,263,,
2018-01-08,264,,
2018-01-08,265,,
2018-01-08,266,,
2018-01-08,267,,
2018-01-08,268,,
2018-01-08,269,,
2018-01-08,270,,
2018-01-08,271,,
2018-01-08,272,,
2018-01-08,273,,
2018-01-08,274,,
2018-01-08,275,,
2018-01-08,276,,
2018-01-08,277,,
2018-01-08,278,,
2018-01-08,279,,
2018-01-08,280,,
2018-01-08,281,,
2018-01-08,282,,
2018-01-08,283,,
2018-01-08,284,,
2018-01-08,285,,
2018-01-08,286,,
2018-01-08,287,,
2018-01-08,288,,
2018-01-08,289,,
2018-01-08,290,,
2018-01-08,291,,
2018-01-08,292,,
2018-01-08,293,,
2018-01-08,294,,
2018-01-08,295,,
2018-01-08,296,,
2018-01-08,297,0.6,0.7
2018-01-08,298,,
2018-01-08,299,,
2018-01-08,300,,
2018-01-08,301,,
2018-01-08,302,,
2018-01-08,303,,
2018-01-08,304,,
2018-01-08,305,,
2018-01-08,306,0.6,0.65
2018-01-08,307,,
2018-01-08,308,,
2018-01-08,309,,
2018-01-08,310,,
2018-01-08,311,,
2018-01-08,312,,
2018-01-08,313,,
2018-01-08,314,,
2018-01-08,315,,
2018-01-08,316,,
2018-01-08,317,,
2018-01-08,318,,
2018-01-08,319,,
2018-01-08,320,,
2018-01-08,321,,
2018-01-08,322,,
2018-01-08,323,,
2018-01-08,615,8.5,9.5
2018-01-08,616,8,9
2018-01-08,670,,
2018-01-08,671,,
2018-01-08,672,208,210
2018-01-08,673,,
2018-01-08,679,7.5,8.5
2018-01-08,680,8,9
2018-01-08,683,3.5,3.9
2018-01-08,684,3.6,4
2018-01-08,685,,
2018-01-08,688,1.2,1.25
2018-01-08,689,1.25,1.3
2018-01-08,690,1.35,1.45
2018-01-08,691,2.3,2.6
2018-01-08,692,2.3,2.65
2018-01-08,693,2.6,2.8
2018-01-08,694,2.6,2.9
2018-01-08,695,7.3,7.8
2018-01-08,696,1,1.1
2018-01-08,697,,
2018-01-08,698,0.95,1.05
2018-01-08,699,0.9,0.95
2018-01-08,700,1.4,1.5
2018-01-08,701,1.2,1.4
2018-01-08,702,,
2018-01-08,703,1.45,1.5
2018-01-08,704,3.6,3.8
2018-01-08,705,,
2018-01-08,706,,
2018-01-08,707,7,7.7
2018-01-08,708,1.1,1.2
2018-01-08,709,7,7.7
2018-01-08,710,7,7.7
2018-01-08,711,7.5,8.2
2018-01-08,712,1.1,1.2
2018-01-08,714,,
2018-01-08,715,6.7,7.2
2018-01-08,727,,
2018-01-08,728,1.25,1.38
2018-01-08,729,0.95,1
2018-01-08,731,5.15,5.25
2018-01-08,732,6.3,6.5
2018-01-08,733,7,7.2
2018-01-08,734,7.4,7.6
2018-01-12,328,0.36,0.42
2018-01-12,329,0.14,0.18
2018-01-12,331,0.34,0.38
2018-01-12,332,,
2018-01-12,333,2.7,2.74
2018-01-12,335,2.55,2.59
2018-01-12,336,,
2018-01-12,337,,
2018-01-12,340,,
2018-01-12,341,2.65,2.69
2018-01-12,342,2.95,2.99
2018-01-12,344,17.5,17.5
2018-01-12,345,15.1,15.1
2018-01-12,346,14,14
2018-01-12,347,12.2,12.2
2018-01-12,350,2.25,2.35
2018-01-12,351,2.1,2.2
2018-01-12,352,4.15,4.25
2018-01-12,353,4.85,4.95
2018-01-12,356,2.2,2.3
2018-01-12,357,2.2,2.3
2018-01-12,358,4.15,4.25
2018-01-12,361,4.7,4.8
2018-01-12,362,5.6,5.7
2018-01-12,363,4.7,4.8
2018-01-12,364,2.15,2.25
2018-01-12,365,1.5,1.6
2018-01-12,366,5.6,5.7
2018-01-12,367,2.7,2.8
2018-01-12,368,1.3,1.4
2018-01-12,369,5.6,5.7
2018-01-12,370,2.6,2.7
2018-01-12,371,1.3,1.4
2018-01-12,372,5,5.1
2018-01-12,674,1.1,1.12
2018-01-12,675,1.45,1.47
2018-01-12,676,2.1,2.2
2018-01-12,677,2.2,2.3
2018-01-12,678,2.3,2.4
2018-01-12,716,18.7,18.7
2018-01-12,717,16.3,16.3
2018-01-12,718,15.3,15.3
2018-01-12,719,12.9,12.9
2018-01-15,2,,
2018-01-15,3,,
2018-01-15,4,187.5,188.5
2018-01-15,5,,
2018-01-15,6,,
2018-01-15,7,271,273
2018-01-15,8,262,264
2018-01-15,9,184.5,185.5
2018-01-15,10,189,190
2018-01-15,11,,
2018-01-15,12,200,202
2018-01-15,13,,
2018-01-15,14,167.5,168.5
2018-01-15,15,179.5,180.5
2018-01-15,16,166.5,167.5
2018-01-15,17,,
2018-01-15,18,,
2018-01-15,19,,
2018-01-15,20,,
2018-01-15,21,180.5,182.5
2018-01-15,22,188,189
2018-01-15,23,400,405
2018-01-15,24,394,399
2018-01-15,25,249,251
2018-01-15,26,244,247
2018-01-15,27,465,466
2018-01-15,28,461,463
2018-01-15,29,447,448
2018-01-15,30,158,160
2018-01-15,31,162,164
2018-01-15,32,130,132
2018-01-15,33,163,165
2018-01-15,34,134,136
2018-01-15,35,194,196
2018-01-15,36,165,167
2018-01-15,37,129.5,131.5
2018-01-15,38,129.5,131.5
2018-01-15,39,273,274
2018-01-15,40,153,155
2018-01-15,41,,
2018-01-15,42,151,152
2018-01-15,43,150.5,151.5
2018-01-15,44,,
2018-01-15,45,,
2018-01-15,46,,
2018-01-15,47,192.5,193.5
2018-01-15,48,132.5,134.5
2018-01-15,49,,
2018-01-15,50,300,340
2018-01-15,51,330,380
2018-01-15,52,,
2018-01-15,53,800,840
2018-01-15,54,890,940
2018-01-15,55,280,310
2018-01-15,56,220,230
2018-01-15,58,107.5,112.5
2018-01-15,61,,
2018-01-15,62,,
2018-01-15,63,192.5,197.5
2018-01-15,64,,
2018-01-15,65,,
2018-01-15,66,,
2018-01-15,67,207.5,212.5
2018-01-15,68,,
2018-01-15,69,,
2018-01-15,70,,
2018-01-15,71,97.5,102.5
2018-01-15,72,211.5,216.5
2018-01-15,73,367.5,369.5
2018-01-15,74,,
2018-01-15,75,344.5,346.5
2018-01-15,76,388.5,390.5
2018-01-15,77,365,367
2018-01-15,78,,
2018-01-15,79,,
2018-01-15,80,,
2018-01-15,81,320,330
2018-01-15,82,,
2018-01-15,83,790,800
2018-01-15,84,815,825
2018-01-15,85,680,685
2018-01-15,86,720,730
2018-01-15,87,720,725
2018-01-15,88,712.5,717.5
2018-01-15,89,1425,1435
2018-01-15,90,940,960
2018-01-15,91,960,980
2018-01-15,92,790,795
2018-01-15,93,800,810
2018-01-15,94,802.5,807.5
2018-01-15,95,795,800
2018-01-15,96,,
2018-01-15,97,,
2018-01-15,98,,
2018-01-15,100,,
2018-01-15,101,,
2018-01-15,102,,
2018-01-15,103,4.65,5.3
2018-01-15,104,3.65,3.75
2018-01-15,105,3.85,3.95
2018-01-15,106,3.68,3.7
2018-01-15,107,2.27,2.29
2018-01-15,108,274,276
2018-01-15,109,238,240
2018-01-15,110,335,370
2018-01-15,111,220,222
2018-01-15,112,,
2018-01-15,113,,
2018-01-15,114,178,179
2018-01-15,115,125,127
2018-01-15,116,,
2018-01-15,117,390,393
2018-01-15,118,313,314
2018-01-15,119,,
2018-01-15,120,317.5,318.5
2018-01-15,121,450,453
2018-01-15,122,322.5,324.5
2018-01-15,123,,
2018-01-15,124,324,327
2018-01-15,125,,
2018-01-15,126,,
2018-01-15,127,221.5,226.5
2018-01-15,128,214.5,219.5
2018-01-15,129,230.5,235.5
2018-01-15,130,187.5,194.5
2018-01-15,131,1430,1435
2018-01-15,132,665,670
2018-01-15,133,637.5,642.5
2018-01-15,134,707.5,712.5
2018-01-15,176,5,6
2018-01-15,177,11,12
2018-01-15,181,4.72,4.78
