date,code,low,high
2022-01-07,328,0.5,0.54
2022-01-07,329,0.39,0.43
2022-01-07,331,0.66,0.7
2022-01-07,332,,
2022-01-07,333,3.25,3.3
2022-01-07,335,3,3.05
2022-01-07,336,,
2022-01-07,337,,
2022-01-07,340,,
2022-01-07,341,3.1,3.15
2022-01-07,342,3.3,3.35
2022-01-07,344,15.1,15.1
2022-01-07,345,13.3,13.3
2022-01-07,346,12,12
2022-01-07,347,10,10
2022-01-07,350,3.15,3.25
2022-01-07,351,2.85,2.95
2022-01-07,352,4.55,4.65
2022-01-07,353,5.35,5.45
2022-01-07,356,2.4,2.5
2022-01-07,357,2.4,2.5
2022-01-07,358,4.85,4.95
2022-01-07,361,5.9,6
2022-01-07,362,6.8,6.9
2022-01-07,363,6.5,6.6
2022-01-07,364,2.7,2.8
2022-01-07,365,1.8,1.9
2022-01-07,366,7.45,7.55
2022-01-07,367,3.25,3.35
2022-01-07,368,1.75,1.85
2022-01-07,369,7.45,7.55
2022-01-07,370,3.25,3.35
2022-01-07,371,1.75,1.85
2022-01-07,372,6,6.1
2022-01-07,674,1.46,1.48
2022-01-07,675,1.91,1.93
2022-01-07,676,2.85,2.95
2022-01-07,677,2.4,2.5
2022-01-07,678,3.15,3.25
2022-01-07,716,17.6,17.6
2022-01-07,717,15.8,15.8
2022-01-07,718,14.7,14.7
2022-01-07,719,11.7,11.7
2022-01-07,835,5.4,5.6
2022-01-07,836,5.65,5.75
2022-01-10,2,357,358
2022-01-10,3,330,332
2022-01-10,4,315,317
2022-01-10,5,307,309
2022-01-10,6,297,298
2022-01-10,7,435,436
2022-01-10,8,435,437
2022-01-10,9,,
2022-01-10,10,317,319
2022-01-10,11,,
2022-01-10,12,295,300
2022-01-10,13,278,280
2022-01-10,14,272,273
2022-01-10,15,283,285
2022-01-10,16,280,282
2022-01-10,17,,
2022-01-10,18,,
2022-01-10,19,283,288
2022-01-10,20,293,296
2022-01-10,21,305,309
2022-01-10,22,,
2022-01-10,23,610,615
2022-01-10,24,599,604
2022-01-10,25,479,481
2022-01-10,26,474,477
2022-01-10,27,575,576
2022-01-10,28,571,573
2022-01-10,29,557,558
2022-01-10,30,234,236
2022-01-10,31,238,240
2022-01-10,32,206,208
2022-01-10,33,250,262
2022-01-10,34,221,223
2022-01-10,35,297,299
2022-01-10,36,268,270
2022-01-10,37,211,212
2022-01-10,38,209,210
2022-01-10,39,353,356
2022-01-10,40,249,250
2022-01-10,41,995,1000
2022-01-10,42,236,238
2022-01-10,43,235,237
2022-01-10,44,,
2022-01-10,45,,
2022-01-10,46,,
2022-01-10,47,276,277
2022-01-10,48,234,240
2022-01-10,50,590,630
2022-01-10,51,840,900
2022-01-10,53,1420,1460
2022-01-10,54,2040,2100
2022-01-10,55,535,565
2022-01-10,56,355,365
2022-01-10,58,177,182
2022-01-10,61,,
2022-01-10,62,,
2022-01-10,63,165,170
2022-01-10,64,,
2022-01-10,65,,
2022-01-10,66,,
2022-01-10,67,215,220
2022-01-10,68,,
2022-01-10,69,,
2022-01-10,70,,
2022-01-10,71,110,115
2022-01-10,73,602,604
2022-01-10,74,,
2022-01-10,75,555,560
2022-01-10,76,650,655
2022-01-10,77,570,574
2022-01-10,78,,
2022-01-10,79,,
2022-01-10,80,,
2022-01-10,81,400,410
