code,name,category_path,unit,first_date,last_date,n_observations,n_quoted
809,- d.o.c. chiaretto,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > BARDOLINO (quotazione base per litro),EUR/L,2020-10-12,2021-10-11,64,57
810,- d.o.c. classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > BARDOLINO (quotazione base per litro),EUR/L,2020-10-12,2021-10-11,64,57
811,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VALPOLICELLA (prezzo E/litro),EUR/L,2020-10-12,2021-10-11,63,53
812,- d.o.c. classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VALPOLICELLA (prezzo E/litro),EUR/L,2020-10-12,2021-10-11,59,43
813,- d.o.c. classico atto a ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VALPOLICELLA (prezzo E/litro),EUR/L,2020-10-12,2022-01-30,64,16
814,- d.o.c.  atto a ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VALPOLICELLA (prezzo E/litro),EUR/L,2020-10-12,2022-01-30,64,16
815,- d.o.c.,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > SOAVE (quotazione base 1 grado/100 litri),EUR/grado-hL,2020-10-12,2021-10-15,65,61
816,- d.o.c. classico (prezzo E/litro),Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > SOAVE (quotazione base 1 grado/100 litri),EUR/L,2020-10-12,2021-10-15,65,61
817,d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > CUSTOZA (quotazione base per litro),EUR/L,2020-10-12,2021-10-11,63,55
818,- d.o.c. garganega,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > GARDA (quotazione base per 1 grado/100 litri),EUR/grado-hL,2020-11-09,2021-10-11,59,53
819,- d.o.c. pinot grigio (prezzo E/litro),VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > GARDA (quotazione base per 1 grado/100 litri),EUR/L,2020-11-09,2021-10-11,51,26
820,- pinot grigio,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VALDADIGE (quotazione base per litro),EUR/L,2020-10-12,2021-10-11,62,49
821,- d.o.c. bianco,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VALDADIGE (quotazione base per litro),EUR/L,2020-10-12,2020-11-30,8,0
822,- d.o.c. rosso,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VALDADIGE (quotazione base per litro),EUR/L,2020-10-12,2020-11-30,8,0
823,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > LUGANA (quotazione base per litro),EUR/L,2020-10-12,2021-10-11,64,57
824,- pinot grigio,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > DOC DELLE VENEZIE (quotazione base per litro),EUR/L,2020-10-12,2021-10-11,65,59
825,- merlot,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/grado-hL,2020-10-12,2021-10-15,64,56
826,- durello (prezzo E/litro),VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/L,2020-10-12,2021-10-11,47,0
827,- pinot bianco (gr. 12 prezzo E/litro),VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/L,2020-10-12,2021-10-11,56,29
828,- bianco veronese gr. 10/13,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/grado-hL,2020-10-12,2021-10-11,47,0
829,- chardonnay (gr. 12 prezzo E/litro),VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/L,2020-10-12,2021-10-11,63,54
830,- rosso veronese gr. 10/12,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINI I.G.T. Verona (quotazione base per 1 grado/100 litri),EUR/grado-hL,2020-10-12,2021-10-11,47,0
831,- rosso,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINO DA TAVOLA (quotazione base per 1 grado/100 litri),EUR/grado-hL,2020-10-12,2021-10-11,63,54
832,- bianco,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > VINO DA TAVOLA (quotazione base per 1 grado/100 litri),EUR/grado-hL,2020-10-12,2021-10-11,63,54
833,d.o.c. chardonnay (prezzo E/litro),VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > GARDA (quotazione base per 1 grado/100 litri),EUR/L,2020-11-09,2021-10-11,59,53
834,d.o.c. bianco,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > GARDA (quotazione base per 1 grado/100 litri),EUR/grado-hL,2020-11-09,2021-10-11,59,53
835,Galletti eviscerati inf. a  750 g,Prodotti avicunicoli macellati naz.li freschi 'Classe A' > GALLETTI (prezzo base per Kg.),EUR/kg,2021-01-08,2026-08-31,364,359
836,a busto,Prodotti avicunicoli macellati naz.li freschi 'Classe A' > FARAONE (prezzo base per Kg.),EUR/kg,2021-01-08,2026-08-31,364,359
837,- bianco,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2020 > DOC DELLE VENEZIE (quotazione base per litro),EUR/L,2021-02-22,2021-10-11,42,36
838,- Amarone e recioto produzione  2018 - d.o.c.g. classico,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2021-06-07,2022-09-30,85,85
839,- Amarone e recioto produzione  2018 - d.o.c.g.,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2021-06-07,2022-09-30,85,85
840,- Atto a Amarone e recioto produzione  2019 - d.o.c.g. classico,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2021-06-07,2022-01-30,32,7
841,- Atto a Amarone e recioto produzione  2019 - d.o.c.g.,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2021-06-07,2022-01-30,32,7
842,- d.o.c.,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > BARDOLINO (quotazione base per litro),EUR/L,2021-09-20,2022-10-31,73,72
843,- d.o.c. chiaretto,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > BARDOLINO (quotazione base per litro),EUR/L,2021-09-20,2022-10-31,73,72
844,- d.o.c. classico,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > BARDOLINO (quotazione base per litro),EUR/L,2021-09-20,2022-10-31,72,70
845,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VALPOLICELLA (prezzo E/litro),EUR/L,2021-09-20,2023-01-09,82,73
846,- d.o.c. classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VALPOLICELLA (prezzo E/litro),EUR/L,2021-09-20,2023-01-09,79,61
